,strain,strain,species,genus,family,order,class,phylum,superkingdom,species group,clade,no rank,subspecies,serotype,subphylum,subkingdom,kingdom,serogroup,species subgroup,subgenus,subclass
Salmonella enterica serovar Typhimurium,Salmonella enterica serovar Typhimurium,Salmonella typhimurium (strain SL1344),Salmonella enterica,Salmonella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,Salmonella typhimurium,Salmonella enterica I,,,,,,,,
Staphylococcus epidermidis,Staphylococcus epidermidis,Staphylococcus epidermidis (strain ATCC 35984 / DSM 28319 / BCRC 17069 / CCUG 31568 / BM 3577 / RP62A),Staphylococcus epidermidis,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Bacillota,Bacteria,,Terrabacteria group,,,,,,,,,,
Klebsiella pneumoniae CMCC 46117,Klebsiella pneumoniae CMCC 46117,Klebsiella pneumoniae (strain 342),Klebsiella pneumoniae,Klebsiella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,Klebsiella/Raoultella group,,,,,,,,,
Pseudomonas aeruginosa,Pseudomonas aeruginosa,Pseudomonas aeruginosa HB13,Pseudomonas aeruginosa,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Pseudomonadota,Bacteria,Pseudomonas aeruginosa group,,,,,,,,,,,
Streptococcus agalactiae ATCC 13813,Streptococcus agalactiae ATCC 13813,Streptococcus agalactiae (strain ATCC 13813 / DSM 2134 / JCM 5671 / CCUG 4208 / LMG 14694 / NCIMB 701348 / NCTC 8181 / G19),Streptococcus agalactiae,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Bacillota,Bacteria,,Terrabacteria group,,,,,,,,,,
Streptococcus pneumoniae ATCC 49619,Streptococcus pneumoniae ATCC 49619,,Streptococcus pneumoniae,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Bacillota,Bacteria,,Terrabacteria group,,,,,,,,,,
Salmonella enterica subsp. enterica serovar Choleraesuis CVCC 503,Salmonella enterica subsp. enterica serovar Choleraesuis CVCC 503,,Salmonella enterica,Salmonella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,Salmonella muenchen,Salmonella enterica I,,,,,,,,
Streptococcus agalactiae,Streptococcus agalactiae,Streptococcus agalactiae (strain ATCC 13813 / DSM 2134 / JCM 5671 / CCUG 4208 / LMG 14694 / NCIMB 701348 / NCTC 8181 / G19),Streptococcus agalactiae,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Bacillota,Bacteria,,Terrabacteria group,,,,,,,,,,
Escherichia coli W3110,Escherichia coli W3110,Escherichia coli (strain K12),Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,Escherichia coli (strain K12 / W3110 / ATCC 27325 / DSM 5911),,,,,,,,,
Acinetobacter baumannii AB5075,Acinetobacter baumannii AB5075,Acinetobacter baumannii AB5075,Acinetobacter baumannii,Acinetobacter,Moraxellaceae,Moraxellales,Gammaproteobacteria,Pseudomonadota,Bacteria,Acinetobacter calcoaceticus/baumannii complex,,,,,,,,,,,
Escherichia coli CVCC 1515,Escherichia coli CVCC 1515,Escherichia coli (strain ATCC 55124 / KO11FL),Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,,,,,,,,,,
Salmonella enterica subsp. enterica serovar Pullorum CVCC 533,Salmonella enterica subsp. enterica serovar Pullorum CVCC 533,,Salmonella enterica,Salmonella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,Salmonella muenchen,Salmonella enterica I,,,,,,,,
Salmonella enterica subsp. enterica serovar Enteritidis CVCC 3377,Salmonella enterica subsp. enterica serovar Enteritidis CVCC 3377,,Salmonella enterica,Salmonella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,Salmonella muenchen,Salmonella enterica I,,,,,,,,
Pseudomonas aeruginosa CICC 21630,Pseudomonas aeruginosa CICC 21630,Pseudomonas aeruginosa HB13,Pseudomonas aeruginosa,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Pseudomonadota,Bacteria,Pseudomonas aeruginosa group,,,,,,,,,,,
Staphylococcus aureus NCTC 10788,Staphylococcus aureus NCTC 10788,Staphylococcus aureus (strain TW20 / 0582),Staphylococcus aureus,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Bacillota,Bacteria,,Terrabacteria group,,,,,,,,,,
Staphylococcus aureus NCTC 12493,Staphylococcus aureus NCTC 12493,Staphylococcus aureus (strain TW20 / 0582),Staphylococcus aureus,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Bacillota,Bacteria,,Terrabacteria group,,,,,,,,,,
Klebsiella pneumoniae ATCC 43816,Klebsiella pneumoniae ATCC 43816,Klebsiella pneumoniae ATCC 43816,Klebsiella pneumoniae,Klebsiella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,Klebsiella/Raoultella group,,,,,,,,,
Enterococcus faecium NTCC 12697,Enterococcus faecium NTCC 12697,,Enterococcus sp. EnGen0037,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,Bacillota,Bacteria,,Terrabacteria group,unclassified Enterococcus,,,,,,,,,
Escherichia coli ATCC 11229,Escherichia coli ATCC 11229,Escherichia coli (strain ATCC 55124 / KO11FL),Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,,,,,,,,,,
Klebsiella pneumoniae ATCC 2357,Klebsiella pneumoniae ATCC 2357,Klebsiella pneumoniae (strain 342),Klebsiella pneumoniae,Klebsiella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,Klebsiella/Raoultella group,,,,,,,,,
Bacillus cereus ATCC 11778,Bacillus cereus ATCC 11778,Bacillus cereus (strain ZK / E33L),Bacillus cereus,Bacillus,Bacillaceae,Bacillales,Bacilli,Bacillota,Bacteria,Bacillus cereus group,Terrabacteria group,,,,,,,,,,
Escherichia coli ATCC 11219,Escherichia coli ATCC 11219,Escherichia coli (strain ATCC 55124 / KO11FL),Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,,,,,,,,,,
Pseudomonas aeruginosa ATCC 13388,Pseudomonas aeruginosa ATCC 13388,Pseudomonas aeruginosa HB13,Pseudomonas aeruginosa,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Pseudomonadota,Bacteria,Pseudomonas aeruginosa group,,,,,,,,,,,
Klebsiella pneumoniae ATCC 10031,Klebsiella pneumoniae ATCC 10031,,Klebsiella pneumoniae,Klebsiella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,Klebsiella/Raoultella group,,,,,,,,,
Escherichia coli NCTC 10418,Escherichia coli NCTC 10418,Escherichia coli (strain ATCC 55124 / KO11FL),Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,,,,,,,,,,
Enterococcus faecalis NCTC 12697,Enterococcus faecalis NCTC 12697,Enterococcus faecalis EnGen0207,Enterococcus faecalis,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,Bacillota,Bacteria,,Terrabacteria group,,,,,,,,,,
Candida albicans NCYC 1467,Candida albicans NCYC 1467,Candida albicans (strain SC5314 / ATCC MYA-2876),Candida albicans,Candida,Debaryomycetaceae,Saccharomycetales,Saccharomycetes,Ascomycota,Eukaryota,,Opisthokonta,,,,Saccharomycotina,Dikarya,Fungi,,,,
Klebsiella pneumoniae ATCC BAA-2146,Klebsiella pneumoniae ATCC BAA-2146,Klebsiella pneumoniae ATCC BAA-2146,Klebsiella pneumoniae,Klebsiella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,Klebsiella/Raoultella group,,,,,,,,,
Klebsiella pneumoniae,Klebsiella pneumoniae,Klebsiella pneumoniae (strain 342),Klebsiella pneumoniae,Klebsiella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,Klebsiella/Raoultella group,,,,,,,,,
Bacillus subtilis ATCC 6051,Bacillus subtilis ATCC 6051,Bacillus subtilis subsp. subtilis NCIB 3610 = ATCC 6051 = DSM 10,Bacillus subtilis,Bacillus,Bacillaceae,Bacillales,Bacilli,Bacillota,Bacteria,Bacillus subtilis group,Terrabacteria group,,Bacillus subtilis subsp. subtilis,,,,,,,,
Escherichia coli C25,Escherichia coli C25,Escherichia coli (strain ATCC 55124 / KO11FL),Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,,,,,,,,,,
Vibrio parahaemolyticus ATCC 17802,Vibrio parahaemolyticus ATCC 17802,,Vibrio parahaemolyticus,Vibrio,Vibrionaceae,Vibrionales,Gammaproteobacteria,Pseudomonadota,Bacteria,Vibrio harveyi group,,,,,,,,,,,
Yersinia pseudotuberculosis YPIII,Yersinia pseudotuberculosis YPIII,Yersinia pseudotuberculosis serotype O:3 (strain YPIII),Yersinia pseudotuberculosis,Yersinia,Yersiniaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,Yersinia pseudotuberculosis complex,,,,,,,,,,,
Staphylococcus aureus Cowan 1,Staphylococcus aureus Cowan 1,,Staphylococcus aureus,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Bacillota,Bacteria,,Terrabacteria group,,,,,,,,,,
Staphylococcus capitis 1,Staphylococcus capitis 1,Staphylococcus capitis SK14,Staphylococcus capitis,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Bacillota,Bacteria,,Terrabacteria group,,,,,,,,,,
Escherichia coli DSM 1116,Escherichia coli DSM 1116,Escherichia coli (strain ATCC 9637 / CCM 2024 / DSM 1116 / LMG 11080 / NBRC 13500 / NCIMB 8666 / NRRL B-766 / W),Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,,,,,,,,,,
Franconibacter helveticus DSM 18390,Franconibacter helveticus DSM 18390,,Franconibacter helveticus,Franconibacter,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,,,,,,,,,,
Bacillus subtilis DSM 347,Bacillus subtilis DSM 347,Bacillus subtilis (strain 168),Bacillus subtilis,Bacillus,Bacillaceae,Bacillales,Bacilli,Bacillota,Bacteria,Bacillus subtilis group,Terrabacteria group,,Bacillus subtilis subsp. subtilis,,,,,,,,
Staphylococcus xylosus DSM 20287,Staphylococcus xylosus DSM 20287,,Staphylococcus xylosus,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Bacillota,Bacteria,,Terrabacteria group,,,,,,,,,,
Acinetobacter baumannii KCTC 2508,Acinetobacter baumannii KCTC 2508,,Acinetobacter baumannii,Acinetobacter,Moraxellaceae,Moraxellales,Gammaproteobacteria,Pseudomonadota,Bacteria,Acinetobacter calcoaceticus/baumannii complex,,,,,,,,,,,
Candida albicans ATCC 10231,Candida albicans ATCC 10231,,Candida albicans,Candida,Debaryomycetaceae,Saccharomycetales,Saccharomycetes,Ascomycota,Eukaryota,,Opisthokonta,,,,Saccharomycotina,Dikarya,Fungi,,,,
Streptococcus pneumoniae,Streptococcus pneumoniae,Streptococcus pneumoniae serotype 2 (strain D39 / NCTC 7466),Streptococcus pneumoniae,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Bacillota,Bacteria,,Terrabacteria group,,,,,,,,,,
Acinetobacter baumannii ATCC 15308,Acinetobacter baumannii ATCC 15308,Acinetobacter baumannii (strain ACICU),Acinetobacter baumannii,Acinetobacter,Moraxellaceae,Moraxellales,Gammaproteobacteria,Pseudomonadota,Bacteria,Acinetobacter calcoaceticus/baumannii complex,,,,,,,,,,,
Citrobacter sp.,Citrobacter sp.,,Citrobacter sp. HPC 784,Citrobacter,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,unclassified Citrobacter,,,,,,,,,
Staphylococcus aureus RN4220,Staphylococcus aureus RN4220,Staphylococcus aureus (strain NCTC 8325 / PS 47),Staphylococcus aureus,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Bacillota,Bacteria,,Terrabacteria group,Staphylococcus aureus subsp. aureus RN4220,,,,,,,,,
Staphylococcus aureus MRSA-15,Staphylococcus aureus MRSA-15,Staphylococcus aureus MRSA-Lux-15,Staphylococcus aureus,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Bacillota,Bacteria,,Terrabacteria group,,,,,,,,,,
Enterococcus faecalis JH-2-2,Enterococcus faecalis JH-2-2,Enterococcus faecalis EnGen0207,Enterococcus faecalis,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,Bacillota,Bacteria,,Terrabacteria group,,,,,,,,,,
Staphylococcus aureus ATCC BAA-1556,Staphylococcus aureus ATCC BAA-1556,Staphylococcus aureus (strain TW20 / 0582),Staphylococcus aureus,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Bacillota,Bacteria,,Terrabacteria group,,,,,,,,,,
Klebsiella pneumoniae ATCC BAA-1705,Klebsiella pneumoniae ATCC BAA-1705,Klebsiella pneumoniae ATCC BAA-1705,Klebsiella pneumoniae,Klebsiella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,Klebsiella/Raoultella group,,,,,,,,,
Pseudomonas aeruginosa ATCC 27883,Pseudomonas aeruginosa ATCC 27883,Pseudomonas aeruginosa HB13,Pseudomonas aeruginosa,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Pseudomonadota,Bacteria,Pseudomonas aeruginosa group,,,,,,,,,,,
Pseudomonas aeruginosa ATCC 10145,Pseudomonas aeruginosa ATCC 10145,,Pseudomonas aeruginosa,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Pseudomonadota,Bacteria,Pseudomonas aeruginosa group,,,,,,,,,,,
Enterobacter cloacae ATCC 13047,Enterobacter cloacae ATCC 13047,Enterobacter cloacae subsp. cloacae (strain ATCC 13047 / DSM 30054 / NBRC 13535 / NCTC 10005 / WDCM 00083 / NCDC 279-56),Enterobacter cloacae,Enterobacter,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,Enterobacter cloacae complex,,,Enterobacter cloacae subsp. cloacae,,,,,,,,
Enterococcus faecium ATCC 19434,Enterococcus faecium ATCC 19434,,Enterococcus faecium,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,Bacillota,Bacteria,,Terrabacteria group,,,,,,,,,,
Listeria monocytogenes ATCC 19115,Listeria monocytogenes ATCC 19115,Listeria monocytogenes ATCC 19115,Listeria monocytogenes,Listeria,Listeriaceae,Bacillales,Bacilli,Bacillota,Bacteria,,Terrabacteria group,,,,,,,,,,
Salmonella enterica subsp. enterica serovar Typhi CMCC 50071,Salmonella enterica subsp. enterica serovar Typhi CMCC 50071,,Salmonella enterica,Salmonella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,Salmonella muenchen,Salmonella enterica I,,,,,,,,
Salmonella enterica subsp. enterica CMCC 47020,Salmonella enterica subsp. enterica CMCC 47020,,Salmonella enterica,Salmonella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,Salmonella muenchen,Salmonella enterica I,,,,,,,,
Cronobacter sakazakii ATCC 29544,Cronobacter sakazakii ATCC 29544,,Cronobacter sakazakii,Cronobacter,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,,,,,,,,,,
Staphylococcus aureus CMCC 26074,Staphylococcus aureus CMCC 26074,Staphylococcus aureus (strain TW20 / 0582),Staphylococcus aureus,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Bacillota,Bacteria,,Terrabacteria group,,,,,,,,,,
Listeria monocytogenes CMCC 54004,Listeria monocytogenes CMCC 54004,Listeria monocytogenes serotype 1/2a (strain 10403S),Listeria monocytogenes,Listeria,Listeriaceae,Bacillales,Bacilli,Bacillota,Bacteria,,Terrabacteria group,,,,,,,,,,
Bacillus cereus CMCC 6303,Bacillus cereus CMCC 6303,Bacillus cereus (strain ZK / E33L),Bacillus cereus,Bacillus,Bacillaceae,Bacillales,Bacilli,Bacillota,Bacteria,Bacillus cereus group,Terrabacteria group,,,,,,,,,,
Escherichia coli BW25113,Escherichia coli BW25113,Escherichia coli (strain K12),Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,Escherichia coli BW25113,,,,,,,,,
Salmonella typhimurium,Salmonella typhimurium,Salmonella enterica subsp. enterica serovar Typhimurium str. DT104,Salmonella enterica,Salmonella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,Salmonella typhimurium,Salmonella enterica I,,,,,,,,
Staphylococcus aureus ATCC BAA-44,Staphylococcus aureus ATCC BAA-44,Staphylococcus aureus (strain TW20 / 0582),Staphylococcus aureus,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Bacillota,Bacteria,,Terrabacteria group,,,,,,,,,,
Staphylococcus aureus SAP 0017,Staphylococcus aureus SAP 0017,Staphylococcus aureus (strain TW20 / 0582),Staphylococcus aureus,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Bacillota,Bacteria,,Terrabacteria group,,,,,,,,,,
Staphylococcus aureus USA 300 LAC,Staphylococcus aureus USA 300 LAC,Staphylococcus aureus (strain TW20 / 0582),Staphylococcus aureus,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Bacillota,Bacteria,,Terrabacteria group,,,,,,,,,,
Escherichia coli O157:H7,Escherichia coli O157:H7,Escherichia coli (strain ATCC 55124 / KO11FL),Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,,,,,,,,,,
Proteus vulgaris,Proteus vulgaris,Proteus vulgaris 66N,Proteus vulgaris,Proteus,Morganellaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,,,,,,,,,,
Xanthomonas axonopodis pv. glycines ISBF 327,Xanthomonas axonopodis pv. glycines ISBF 327,,Xanthomonas axonopodis,Xanthomonas,Lysobacteraceae,Lysobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,,,,,,,,,,
Staphylococcus aureus SH1000,Staphylococcus aureus SH1000,Staphylococcus aureus (strain NCTC 8325 / PS 47),Staphylococcus aureus,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Bacillota,Bacteria,,Terrabacteria group,,,,,,,,,,
Staphylococcus aureus ATCC 29313,Staphylococcus aureus ATCC 29313,Staphylococcus aureus (strain TW20 / 0582),Staphylococcus aureus,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Bacillota,Bacteria,,Terrabacteria group,,,,,,,,,,
Listeria monocytogenes KCTC 3710,Listeria monocytogenes KCTC 3710,Listeria monocytogenes serotype 1/2a (strain 10403S),Listeria monocytogenes,Listeria,Listeriaceae,Bacillales,Bacilli,Bacillota,Bacteria,,Terrabacteria group,,,,,,,,,,
Salmonella typhimurium KCTC 1926,Salmonella typhimurium KCTC 1926,Salmonella enterica subsp. enterica serovar Typhimurium str. DT104,Salmonella enterica,Salmonella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,Salmonella typhimurium,Salmonella enterica I,,,,,,,,
Proteus vulgaris NCTC 4635,Proteus vulgaris NCTC 4635,Proteus vulgaris 66N,Proteus vulgaris,Proteus,Morganellaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,,,,,,,,,,
Bacillus subtilis ATCC 9372,Bacillus subtilis ATCC 9372,,Bacillus atrophaeus,Bacillus,Bacillaceae,Bacillales,Bacilli,Bacillota,Bacteria,Bacillus subtilis group,Terrabacteria group,,,,,,,,,,
Escherichia coli ATCC 35218,Escherichia coli ATCC 35218,Escherichia coli (strain ATCC 55124 / KO11FL),Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,,,,,,,,,,
Staphylococcus aureus T144,Staphylococcus aureus T144,Staphylococcus aureus (strain TW20 / 0582),Staphylococcus aureus,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Bacillota,Bacteria,,Terrabacteria group,,,,,,,,,,
Escherichia coli B2,Escherichia coli B2,,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,Escherichia coli B2:H7,,,,,,,,,
Acinetobacter baumannii ATCC BAA-747,Acinetobacter baumannii ATCC BAA-747,Acinetobacter baumannii (strain ACICU),Acinetobacter baumannii,Acinetobacter,Moraxellaceae,Moraxellales,Gammaproteobacteria,Pseudomonadota,Bacteria,Acinetobacter calcoaceticus/baumannii complex,,,,,,,,,,,
Escherichia coli CCARM 1229,Escherichia coli CCARM 1229,Escherichia coli (strain ATCC 55124 / KO11FL),Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,,,,,,,,,,
Staphylococcus aureus AS1.72,Staphylococcus aureus AS1.72,Staphylococcus aureus (strain TW20 / 0582),Staphylococcus aureus,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Bacillota,Bacteria,,Terrabacteria group,,,,,,,,,,
Bacillus cereus AS1.126,Bacillus cereus AS1.126,Bacillus cereus (strain ZK / E33L),Bacillus cereus,Bacillus,Bacillaceae,Bacillales,Bacilli,Bacillota,Bacteria,Bacillus cereus group,Terrabacteria group,,,,,,,,,,
Lactococcus lactis AS1.1690,Lactococcus lactis AS1.1690,,Lactococcus lactis,Lactococcus,Streptococcaceae,Lactobacillales,Bacilli,Bacillota,Bacteria,,Terrabacteria group,Lactococcus lactis subsp. lactis bv. diacetylactis,Lactococcus lactis subsp. lactis,,,,,,,,
Enterococcus faecalis CGMCC 1.595,Enterococcus faecalis CGMCC 1.595,Enterococcus faecalis EnGen0207,Enterococcus faecalis,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,Bacillota,Bacteria,,Terrabacteria group,,,,,,,,,,
Enterococcus faecium CGMCC 1.2334,Enterococcus faecium CGMCC 1.2334,,Enterococcus sp. EnGen0037,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,Bacillota,Bacteria,,Terrabacteria group,unclassified Enterococcus,,,,,,,,,
Escherichia coli AS1.349,Escherichia coli AS1.349,Escherichia coli (strain ATCC 55124 / KO11FL),Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,,,,,,,,,,
Pseudomonas aeruginosa CGMCC 1.860,Pseudomonas aeruginosa CGMCC 1.860,Pseudomonas aeruginosa HB13,Pseudomonas aeruginosa,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Pseudomonadota,Bacteria,Pseudomonas aeruginosa group,,,,,,,,,,,
Escherichia coli K12 MG1655,Escherichia coli K12 MG1655,Escherichia coli (strain K12),Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,Escherichia coli str. K-12 substr. MG1655,,,,,,,,,
Acinetobacter baumannii MTCC 9829,Acinetobacter baumannii MTCC 9829,Acinetobacter baumannii (strain ACICU),Acinetobacter baumannii,Acinetobacter,Moraxellaceae,Moraxellales,Gammaproteobacteria,Pseudomonadota,Bacteria,Acinetobacter calcoaceticus/baumannii complex,,,,,,,,,,,
Shigella boydii MTCC 11947,Shigella boydii MTCC 11947,Shigella boydii serotype 4 (strain Sb227),Shigella boydii,Shigella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,,,,,,,,,,
Shigella flexneri MTCC 1457,Shigella flexneri MTCC 1457,Shigella flexneri serotype X (strain 2002017),Shigella flexneri,Shigella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,,,,,,,,,,
Salmonella enterica MTCC 9844,Salmonella enterica MTCC 9844,,Salmonella enterica,Salmonella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,Salmonella muenchen,Salmonella enterica I,,,,,,,,
Klebsiella pneumoniae MTCC 7407,Klebsiella pneumoniae MTCC 7407,Klebsiella pneumoniae (strain 342),Klebsiella pneumoniae,Klebsiella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,Klebsiella/Raoultella group,,,,,,,,,
Klebsiella oxytoca MTCC 2275,Klebsiella oxytoca MTCC 2275,Klebsiella oxytoca KOX105,Klebsiella oxytoca,Klebsiella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,Klebsiella/Raoultella group,,,,,,,,,
Pseudomonas aeruginosa MTCC 3542,Pseudomonas aeruginosa MTCC 3542,Pseudomonas aeruginosa HB13,Pseudomonas aeruginosa,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Pseudomonadota,Bacteria,Pseudomonas aeruginosa group,,,,,,,,,,,
Proteus vulgaris MTCC 1771,Proteus vulgaris MTCC 1771,Proteus vulgaris 66N,Proteus vulgaris,Proteus,Morganellaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,,,,,,,,,,
Proteus mirabilis MTCC 3158,Proteus mirabilis MTCC 3158,Proteus mirabilis (strain HI4320),Proteus mirabilis,Proteus,Morganellaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,,,,,,,,,,
Citrobacter koseri MTCC 1657,Citrobacter koseri MTCC 1657,Citrobacter koseri (strain ATCC BAA-895 / CDC 4225-83 / SGSC4696),Citrobacter koseri,Citrobacter,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,,,,,,,,,,
Citrobacter freundii MTCC 1658,Citrobacter freundii MTCC 1658,Citrobacter freundii ATCC 8090 = MTCC 1658 = NBRC 12681,Citrobacter freundii,Citrobacter,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,Citrobacter freundii complex,,,,,,,,,,,
Vibrio cholerae MTCC 3904,Vibrio cholerae MTCC 3904,Vibrio cholerae (strain MO10),Vibrio cholerae,Vibrio,Vibrionaceae,Vibrionales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,,,,,,,,,,
Pluralibacter gergoviae MTCC 3826,Pluralibacter gergoviae MTCC 3826,Pluralibacter gergoviae ATCC 33028 = NBRC 105706,Pluralibacter gergoviae,Pluralibacter,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,,,,,,,,,,
Haemophilus influenzae MTCC 621,Haemophilus influenzae MTCC 621,Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd),Haemophilus influenzae,Haemophilus,Pasteurellaceae,Pasteurellales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,,,,,,,,,,
Alcaligenes faecalis MTCC 1937,Alcaligenes faecalis MTCC 1937,Alcaligenes faecalis subsp. faecalis NCIB 8687,Alcaligenes faecalis,Alcaligenes,Alcaligenaceae,Burkholderiales,Betaproteobacteria,Pseudomonadota,Bacteria,,,,Alcaligenes faecalis subsp. faecalis,,,,,,,,
